Vin|NumeroInventario|CostoCompra|CostoActual|Anio|Marca|Modelo|Version|Color|Interior|Estado|TipoCompra|FechaCompra|Placas|NuevoUsado|Ubicacion|Nada
3KPFB5AA7SE098463|17604|274723.45|274723.45|2025|KIA|K3 HB|K3 1.6L LX M/T HB|SILKY SILVER|SATURN BLACK|DISPONIBLE|INTERCAMBIO|06/02/25||NUEVO|APOCADA|
3KPFC5AA7SE098122|17602|332486.54|332486.54|2025|KIA|K3 HB|K3 1.6L EX PACK A/T HB|STEEL GREY|SATURN BLACK|DISPONIBLE|INTERCAMBIO|06/02/25||NUEVO|APOCADA|
3KPFC5AA0SE098415|17603|332486.54|332486.54|2025|KIA|K3 HB|K3 1.6L EX PACK A/T HB|FIERY RED|SATURN BLACK|DISPONIBLE|INTERCAMBIO|06/02/25||NUEVO|APOCADA|
3KPFE5AD6SE082157|16455|364631.20|364681.20|2025|KIA|K3 HB|K3 2.0L GT-LINE A/T HB|FIERY RED|SATURN BLACK|DISPONIBLE|INTERCAMBIO|08/11/24||NUEVO|APOCADA|
3KPFC5AA5SE073882|16256|304647.20|304717.20|2025|KIA|K3 HB|K3 1.6L EX A/T HB|SILKY SILVER|SATURN BLACK|DISPONIBLE|INTERCAMBIO|22/10/24||NUEVO|APOCADA|
3KPFC5AA9SE078308|17280|304647.20|304647.20|2025|KIA|K3 HB|K3 1.6L EX A/T HB|SILKY SILVER|SATURN BLACK|DISPONIBLE|INTERCAMBIO|08/01/25||NUEVO|APOCADA|
LMWDT1G80N1083973|400247|292241.38|301987.84|2022|DODGE|JOURNEY|JOURNEY AUT 1.5 LTS TURBO|BLANCO BRILLANTE|NEGRO|DISPONIBLE|PERSONA MORAL|04/07/24||USADO|APOCADA|
LMWDT1G8XP1122927|400323|400000.00|400000.00|2023|DODGE|JOURNEY|JOURNEY SXT TURBO|NEGRO BRILLANTE|NEGRO|DISPONIBLE|PARTICULAR|29/10/24||USADO|APOCADA|
JM1BPCDL8K1103562|400358|225000.00|225000.00|2019|MAZDA|MAZDA|M3 i GRAND TOURING T/A SEDAN|BLANCO APERLADO|PIEL NEGRA|ECSIX|PARTICULAR|29/01/25||USADO|APOCADA|
2FMPK4AP6KBB39493|400089|620000.00|646300.00|2019|FORD|EDGE|FORD EDGE D6S|BLANCO PLATINADO|PIEL NEGRA|DISPONIBLE|PARTICULAR|14/08/23||USADO|APOCADA|
MA6CB6CD6JT003722|400360|100000.00|100000.00|2018|CHEVROLET|BEAT|BEAT PAQ B|GRIS ACERO|NEGRO|DISPONIBLE|PARTICULAR|05/02/25||USADO|APOCADA|
3KPF24AD1PE564433|400350|280000.00|280000.00|2023|KIA|FORTE|NEW FORTE PE 2.0L LX T/M SEDAN|SPORTY BLUE|SATURN BLACK|DISPONIBLE|PARTICULAR|23/12/24||USADO|APOCADA|
3KPF54AD7LE114559|400355|245000.00|245000.00|2020|KIA|FORTE|NEW FORTE 2.0L GT-LINE IVT SEDAN|AZURE BLUE|NEGRO|DISPONIBLE|PARTICULAR|17/01/25||USADO|APOCADA|
3KPA34AC5ME391915|400319|220000.00|220468.10|2021|KIA|NEW RIO|KIA RIO 1.6L EX T/A SEDAN|SNOW WHITE PEARL|NEGRO|DISPONIBLE|PARTICULAR|31/10/24||USADO|APOCADA|
LJD5AA1D1R0097263|400318|410000.00|410000.00|2024|KIA|SELTOS|SELTOS 1.5L SX CVT|SNOW WHITE PEARL|NEGRO|DISPONIBLE|PARTICULAR|31/10/24||USADO|APOCADA|
KNDJX3AA4J7898233|400288|241379.31|244959.28|2018|KIA|SOUL|SOUL PE 1.6L TURBO SX DCT|BRIGHT SILVER|BLACK ONE TONE|DISPONIBLE|PARTICULAR|13/09/24||USADO|APOCADA|
KNDJ23AE7M7134608|400364|215000.00|215000.00|2021|KIA|SOUL|NEW SOUL 1.6L LX TA|CLEAR WHITE+RED ROOF|NEGRO|DISPONIBLE|PARTICULAR|12/02/25||USADO|APOCADA|
3N1AB8AE2MY333614|400356|215000.00|215000.00|2021|NISSAN|SENTRA|SENTRA SENSE CVT 2.0 LTS|ROJO MERLOT|NEGRO|DISPONIBLE|PARTICULAR|28/01/25||USADO|APOCADA|
3N8CP5HD9JL485230|400351|200000.00|203900.00|2018|NISSAN|KICKS|KICKS ADVANCE 5P 1.6LTS  CVT AC|NARANJA METALICO|NEGRO|DISPONIBLE|PARTICULAR|24/01/25||USADO|APOCADA|
3N8CP5HD3HL480860|400331|180000.00|180468.10|2017|NISSAN|KICKS|KICKS SENSE 5 PTS 1.6 LTS TM A/C|NARANJA METALICO|NEGRO|DISPONIBLE|PARTICULAR|20/11/24||USADO|APOCADA|
3N8CP5HE4NL518973|400342|270000.00|270468.10|2022|NISSAN|KICKS|KICKS 5 PUERTAS ADVANCE 1.6 LTS TM|PLATA|NEGRO|DISPONIBLE|PARTICULAR|06/12/24||USADO|APOCADA|
9FB5R2VD6PM318715|400251|186896.55|189992.94|2023|RENAULT|STEPWAY|STEPWAY INTENS CVT|ROJO FUEGO|NEGRO|DISPONIBLE|PERSONA MORAL|05/07/24||USADO|APOCADA|
JS2FH81S6J6105809|400365|135000.00|135000.00|2018|SUZUKI|IGNIS|IGNIS GLX MT 5VEL 1.2LT|AGUAMARINA|NEGRO|DISPONIBLE|PARTICULAR|12/02/25||USADO|APOCADA|
JS2ZC63S8N6404267|400361|217000.00|217000.00|2022|SUZUKI|SWIFT|SWIFT GLX 1.2L 4CIL 2WD CVT 5PTAS|ROJO VANADIO|NEGRO|DISPONIBLE|PARTICULAR|04/02/25||USADO|APOCADA|
3KPC35A59NE155849|400312|265000.00|265000.00|2022|HYUNDAI|ACCENT|ACCENT HB GLS TA|ROJO|NEGRO|DISPONIBLE|PARTICULAR|21/10/24||USADO|APOCADA|
3KPC24B5XNE152549|400317|205000.00|209868.10|2022|HYUNDAI|ACCENT|ACCENT SD GL MID TM|GRIS|NEGRO|DISPONIBLE|PARTICULAR|06/11/24||USADO|APOCADA|
MEX6G2600HT030450|400322|165000.00|168200.00|2017|VOLKSWAGEN|POLO|POLO 1.6 5 VEL MANUAL|ROJO FLASH|NEGRO|DISPONIBLE|PARTICULAR|29/10/24||USADO|APOCADA|
MEX522603LT032809|400362|170000.00|170000.00|2020|VOLKSWAGEN|VENTO|VENTO COMFORTLINE 1.6L 6VEL TIPTRONIC|PLATA REFLEX METALICO|NEGRO|DISPONIBLE|PARTICULAR|30/01/25||USADO|APOCADA|
